cluster,cluster_name,district,num_reviews,rating_overall,photos_count,instant_book,min_nights,extra_guest_fee_policy,nearest_poi_dist_km,bedrooms,baths
1,로컬 주거형,Gangseo-gu,69,4.9,36,True,5,0,0.049,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,34,4.85,42,False,1,0,0.115,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,46,4.52,34,True,7,0,0.111,1,1.0
0,핫플 수익형,Mapo-gu,158,4.75,31,False,4,0,0.162,1,1.0
3,프리미엄 비즈니스,Seocho-gu,91,4.82,20,False,2,0,0.098,1,1.0
3,프리미엄 비즈니스,Gangnam-gu,98,4.86,15,False,2,0,0.108,0,1.0
3,프리미엄 비즈니스,Jongno-gu,30,4.87,17,True,1,0,0.026,1,1.0
1,로컬 주거형,Seongbuk-gu,43,4.63,25,False,3,0,0.087,3,2.0
1,로컬 주거형,Songpa-gu,121,4.79,18,False,1,0,0.306,2,1.0
3,프리미엄 비즈니스,Jongno-gu,268,4.65,21,False,1,0,0.041,1,1.0
0,핫플 수익형,Mapo-gu,73,4.93,15,False,2,0,0.065,1,1.0
0,핫플 수익형,Mapo-gu,38,4.95,35,False,2,0,0.076,2,1.0
1,로컬 주거형,Gangseo-gu,40,4.85,39,False,1,0,0.147,3,2.0
0,핫플 수익형,Mapo-gu,28,4.89,37,True,1,0,0.278,2,1.0
3,프리미엄 비즈니스,Jung-gu,53,4.64,23,False,0,1,0.02,3,1.0
2,가성비 신흥형,Gwanak-gu,56,5.0,51,False,1,0,0.375,2,1.0
0,핫플 수익형,Mapo-gu,53,4.58,15,False,2,0,0.093,2,1.0
1,로컬 주거형,Yeongdeungpo-gu,18,4.56,18,True,3,0,0.317,1,1.0
0,핫플 수익형,Mapo-gu,3,4.67,24,False,3,0,0.12,1,0.0
0,핫플 수익형,Mapo-gu,63,4.75,19,False,4,0,0.08,1,1.0
0,핫플 수익형,Mapo-gu,46,4.93,45,True,2,0,0.332,2,1.0
0,핫플 수익형,Mapo-gu,64,4.78,14,True,1,0,0.09,1,1.0
3,프리미엄 비즈니스,Seocho-gu,44,4.91,32,True,1,0,0.129,1,1.0
0,핫플 수익형,Mapo-gu,61,4.9,77,True,2,0,0.098,2,1.0
1,로컬 주거형,Gangseo-gu,69,4.9,76,True,1,0,0.095,3,1.0
3,프리미엄 비즈니스,Yongsan-gu,83,4.92,64,True,1,0,0.264,1,1.0
3,프리미엄 비즈니스,Yongsan-gu,157,4.86,31,False,2,0,0.028,1,1.0
0,핫플 수익형,Mapo-gu,88,4.84,57,False,5,0,0.302,3,1.0
3,프리미엄 비즈니스,Jongno-gu,25,4.92,22,False,2,0,0.038,1,1.0
