,ttm_revpar
13026,19236.2
8022,44107.4
7662,46112.6
6689,52207.4
16232,8076.6
428,215943.9
13212,18528.9
627,181796.3
2126,106583.4
5482,61085.4
9905,33192.5
18489,2553.8
2424,99201.4
10717,29116.3
2382,100080.1
4934,66225.0
265,261793.2
6607,52752.8
19129,1418.8
4901,66653.6
12729,20333.7
3940,76034.2
12258,22228.7
6675,52330.4
19672,663.1
6056,56525.3
8531,40922.0
10472,30288.9
3630,79567.9
12026,23243.6
5420,61655.8
11075,27398.0
2120,106771.4
17807,4062.8
2175,104997.7
19115,1434.6
18072,3425.6
11640,24860.4
11817,24210.1
4774,67797.6
1095,144675.6
1693,118597.6
11222,26793.0
15513,10201.4
6480,53495.3
5797,58728.4
10594,59831.5
14029,15446.3
1522,125206.1
10867,56412.3
1999,109661.4
17949,3721.9
2661,94550.2
4982,65759.9
4717,68321.7
18074,3422.8
316,248089.3
4132,73869.1
700,173620.7
15727,9566.8
14329,14312.7
15669,9773.1
3953,75928.3
6091,56284.0
11650,24837.4
3034,88017.4
4959,66005.6
9686,34432.0
4891,66793.0
4574,69613.0
17883,3899.8
3168,86165.9
2944,89621.5
8872,38908.2
3348,83503.7
6792,51561.5
12569,51998.8
13492,17468.8
13804,16348.4
6073,56397.7
3322,83849.2
9707,34299.2
7703,45928.7
3174,86045.1
7561,46710.1
9985,32712.6
13945,15741.1
4933,66225.5
3653,79325.2
1482,126552.3
15996,8716.3
8960,38407.4
376,229071.8
9111,37562.6
12334,21955.6
2253,103183.6
13116,18903.9
14849,12401.2
11329,26337.0
11729,49550.8
7827,45218.7
8909,38738.6
3740,78237.1
4213,73149.0
15972,8770.7
6366,54120.2
4120,73959.8
7286,48440.5
9475,35496.7
3309,84049.8
2436,99035.6
16826,16040.6
17379,5072.5
2532,97147.6
9200,37037.5
5505,60957.8
5088,64731.8
10088,32165.8
8974,38338.9
8839,39112.4
2076,107970.8
4969,65942.9
1268,135840.5
961,151576.7
10226,31504.2
12900,19734.7
4365,71778.0
5729,59135.0
3241,85050.0
2997,88712.6
11098,27310.6
3493,81442.6
10732,35024.3
1742,116753.3
12305,54700.8
11772,24372.8
11137,27161.2
10733,29074.9
3935,76109.7
13994,15537.5
7285,48452.5
16582,7075.3
18948,3585.8
6314,54482.5
5720,59218.6
18387,5017.6
8185,43138.8
11781,24346.2
2615,95354.9
15739,9517.3
8155,43309.9
15261,11105.1
1555,123630.6
1067,145711.3
1159,140356.9
6674,88433.3
1965,110550.3
14851,12400.3
1042,147391.8
10184,31754.9
13555,17221.3
10824,28664.6
6126,55999.3
15322,10891.9
13323,18038.1
5576,60457.5
15215,11244.8
2593,95931.3
96,363365.7
15666,11089.6
3205,85573.2
2522,97311.8
2739,92971.2
2570,96295.5
2680,94200.4
3873,76795.1
19754,568.3
2277,102557.8
12561,20959.7
6924,50667.2
4883,66832.0
8683,70905.7
3098,87265.3
5276,63020.8
1053,146760.3
8697,39917.7
2433,99054.2
4914,66528.8
9749,34054.4
1611,121516.4
3708,78597.9
2435,99037.1
3155,86407.7
19270,1208.7
16624,6970.0
5452,61359.0
9361,36151.7
18068,3431.7
17862,6625.9
8749,39618.3
11771,24374.6
3104,87194.2
18936,1694.8
2964,89358.3
3,674273.1
12164,34342.5
2506,97764.2
13391,37793.9
13584,17124.5
4048,74701.6
11170,27051.0
8046,43966.5
6568,52921.8
9640,34697.1
16159,8291.6
441,213875.0
10047,80401.0
10854,28495.7
13494,17459.9
19773,538.0
3984,75554.2
17808,8472.7
9887,33306.4
13648,16889.9
13816,27414.2
88,368224.8
14017,15471.6
2627,95084.2
6858,51060.2
17652,8626.8
9424,35779.6
10545,29909.9
13057,19148.5
9442,35661.4
5021,65370.0
274,258773.7
1296,134219.1
13527,40058.6
13021,19259.0
17997,3611.9
18101,3366.7
7568,46646.7
11358,26203.1
7278,48488.4
5993,57007.7
14607,13349.6
13839,16212.7
17490,4745.3
15379,10712.0
8808,39256.8
417,218414.5
418,218205.6
2289,102326.8
14630,13278.1
5973,57190.1
5140,64327.2
4327,72066.0
9522,35265.4
8489,41254.1
15443,10469.5
717,171791.0
8192,43111.1
14240,32696.8
3616,79733.2
408,220363.3
12209,22424.3
2576,96159.6
13722,16656.7
4139,73789.6
9401,35911.6
2956,89472.5
16132,8368.9
18773,2016.1
4012,75215.6
10758,28986.5
6235,55167.5
6860,51052.5
8126,43480.5
15390,10663.0
10251,31377.8
2951,89527.0
3918,76264.2
16649,6900.0
17011,6007.2
9394,35956.5
1542,124236.2
13772,16481.5
9849,33504.6
18092,3376.0
1123,142637.4
13668,16813.2
1424,129038.2
6061,56483.8
6940,50562.4
13757,16543.9
7942,44507.2
8481,41305.2
10231,31484.7
13233,45811.8
9820,33644.0
9097,37656.9
3634,79512.6
2610,95481.0
2666,94451.6
16237,8062.0
11803,24278.1
6744,51846.5
9588,34944.3
639,180306.2
8415,41737.2
3980,75618.9
5660,59680.0
2201,104529.1
5928,57588.5
12806,20078.3
13312,18093.2
131,335480.6
1505,125713.2
4783,109302.7
3802,77598.0
13881,29832.5
12896,19739.9
14685,13018.4
8142,43381.9
782,164973.8
14277,14535.8
13796,16374.1
1651,120292.8
2375,100170.8
10747,29031.3
9034,38026.2
2590,95971.9
472,205828.0
7472,47271.9
10751,29014.0
6328,54365.0
6595,52801.4
14738,20358.1
15997,8715.4
16317,7801.2
18605,2293.7
6982,50302.2
16556,7148.7
10330,30937.8
8666,40105.9
604,184643.6
20092,203.7
6228,55211.9
9049,37930.4
569,188279.8
1933,111444.3
13921,15842.8
7231,48714.0
5149,64249.3
11819,24199.9
1595,122237.9
15451,10429.8
7836,45144.7
3815,77427.6
15962,8804.9
2824,91347.8
5297,62787.8
12845,19925.2
4885,66819.3
16484,7341.4
5895,57941.5
79,386263.2
1717,117737.2
12873,19832.6
2416,99357.3
14556,13504.4
13689,16749.5
4154,73638.1
19187,1329.9
18128,3324.6
4682,68653.3
15515,10196.2
8208,43038.4
14411,14030.6
8959,38426.9
6200,55414.7
14098,15218.4
13886,16010.0
2123,106674.3
3290,84456.2
7601,46426.5
1932,111459.1
8573,40671.0
2898,90393.2
7414,47614.4
3295,84360.2
3664,79163.1
3207,180538.2
6067,56435.1
3608,79805.7
2546,96997.3
1878,113043.7
13519,17373.8
2060,108373.7
2640,94834.8
6034,56667.6
7977,44332.9
9486,35447.4
12499,21153.5
5948,57404.7
1158,140383.8
12331,21966.1
3436,82137.4
5624,60024.9
1783,115439.3
11598,25000.9
9397,35939.4
12655,20561.8
10991,27833.0
9657,34598.6
18613,4738.3
861,158715.4
1513,125443.4
11921,23772.1
13207,18539.0
4097,74186.4
2512,97597.1
12077,23054.9
6019,56724.4
1831,114262.5
2327,101188.8
387,225810.2
9392,35965.6
3002,88608.2
16576,17173.8
188,298405.3
1136,141464.3
12227,22337.1
6180,55611.1
16645,6923.0
5051,65074.1
6372,54091.3
4200,73238.8
5389,61925.8
14068,15310.7
13343,17954.6
1613,121404.5
8814,39232.7
5937,57469.0
503,201008.9
15241,11164.3
14165,14988.7
9456,35580.7
3960,75808.9
1057,146639.0
2268,102761.3
8820,39188.9
7274,48494.7
2686,94067.8
6741,51866.6
15023,11863.0
15823,9272.2
596,185060.2
5760,58945.4
12248,22269.3
8150,43326.2
8601,40499.6
16247,8031.1
2107,107108.0
4929,66300.1
4813,67463.9
7149,49212.7
10511,30106.7
5486,61064.0
6825,51275.3
785,164558.2
9028,38055.9
2390,99908.7
8262,42673.9
5473,61181.1
4127,73914.3
1207,138503.9
10769,28938.0
11340,65267.3
11663,24791.6
5217,63562.6
10351,30828.0
2344,100857.1
7449,47422.7
15395,10639.7
1126,142244.7
3050,87766.4
662,176628.9
3334,83680.7
1200,138778.6
19544,814.6
13077,19085.0
6143,55867.2
571,187592.5
15409,10580.4
849,159722.1
8378,41937.3
1663,119756.9
8711,39836.0
9143,37366.2
2720,93451.9
2000,109639.0
8125,43487.8
1162,140296.3
4205,73188.0
10938,28084.4
772,165602.6
10045,32382.1
14656,13143.1
6476,53512.9
3975,75650.6
5344,62338.9
14988,29698.3
2673,94346.2
9757,34014.7
3097,87308.3
14146,15054.4
4215,73125.1
16125,8386.5
14215,21458.1
18437,2635.3
6434,130751.5
7265,48541.1
14404,23298.8
2740,92950.0
17603,4491.0
10179,31781.9
16119,8400.2
920,153940.0
17790,4105.3
14318,14379.2
6852,51072.2
1362,131347.9
1463,127428.6
5390,61922.0
3586,80132.1
6558,52971.1
15428,10532.7
6453,53616.9
2468,98498.5
5164,64097.7
2791,91845.9
80,385119.4
11112,27275.8
6275,54733.9
8578,40653.4
13499,17442.7
16471,7371.7
1591,122353.3
14734,12804.2
888,156675.6
1597,122164.4
1528,125029.9
1924,111675.6
8751,39610.5
4225,72998.5
8627,40354.1
1872,113149.0
11601,24993.8
5036,65202.9
12465,21294.7
12502,21143.8
5152,64207.3
16370,9054.3
15912,8963.9
16830,7622.0
8712,39825.5
5563,60518.9
3707,78605.3
2141,106157.9
4425,71056.3
19791,522.9
8160,43269.6
11417,25886.1
19306,1148.1
5046,65121.8
8461,41467.9
15121,11556.9
16211,18878.7
11956,23579.3
14493,34055.8
3296,84356.9
10663,29370.5
6816,51356.8
1206,138620.9
45,454118.6
4852,67090.4
985,150358.8
3031,88064.5
1603,121843.6
7295,48318.5
14416,14003.5
10123,32012.4
2003,109526.6
4015,75203.2
8190,43118.8
14514,13651.3
6519,53191.5
14203,36778.8
10442,30452.9
12754,20243.9
17839,3986.0
2901,90370.8
4979,65775.6
7933,44544.4
9364,36116.6
8834,39134.9
11235,26736.7
16832,6451.8
