,superhost,instant_book,bedrooms_group,baths_group,guests_group,min_nights,extra_guest_fee_policy,rating_overall,photos_count,num_reviews,nearest_poi_dist_km,district_listing_count,district_superhost_rate,district_operating_rate,district_entire_home_rate,ttm_pop,photos_tier,review_rate,poi_dist_category,room_type_hotel_room,room_type_private_room,room_type_shared_room,nearest_poi_type_name_레포츠,nearest_poi_type_name_문화시설,nearest_poi_type_name_쇼핑,nearest_poi_type_name_숙박,nearest_poi_type_name_여행코스,nearest_poi_type_name_음식점,nearest_poi_type_name_축제공연행사
5896,1,0,5,6,5,1,0,4.96,58,26,0.34,738,0.4715447154471545,0.8915989159891599,0.8143631436314364,546936,3,0.1165840857494604,1,False,False,False,False,False,False,True,False,False,False
7971,1,1,5,6,5,1,0,4.83,47,24,0.412,862,0.3294663573085847,0.8897911832946636,0.5359628770301624,362689,3,0.1703456585254761,1,False,False,False,False,False,False,False,False,False,False
1396,1,0,5,6,5,1,0,4.9,41,41,0.12,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,3,0.1540860997272071,0,False,True,False,False,False,False,True,False,False,False
6069,1,0,5,6,5,2,1,5.0,15,31,0.139,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.1080553518489478,0,False,True,False,False,False,False,False,False,True,False
19787,0,0,5,6,5,5,1,4.29,22,14,0.366,2640,0.4166666666666667,0.8897727272727273,0.5238636363636363,302528,1,2.7397254912474573,1,False,True,False,False,False,False,False,False,True,False
7259,1,0,5,6,5,2,0,4.95,30,106,0.326,3097,0.3580884727155312,0.853406522441072,0.7936712948014207,863150,2,0.4380255772308288,1,False,True,False,False,False,False,False,False,True,False
5238,0,0,5,6,5,1,0,4.87,21,52,0.199,351,0.5982905982905983,0.925925925925926,0.905982905982906,528144,1,0.2148804718490858,0,False,False,False,False,False,False,False,False,True,False
6322,0,1,5,6,5,1,0,4.61,43,31,0.024,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,3,0.1083310032557624,0,False,False,False,False,False,False,True,False,False,False
3890,0,0,5,6,5,2,0,4.8,17,30,0.102,2870,0.3898954703832752,0.8850174216027874,0.7641114982578397,293254,1,0.246083174094962,0,False,False,False,False,False,False,True,False,False,False
626,1,1,5,6,4,6,0,4.89,31,18,0.266,1034,0.4410058027079304,0.8839458413926499,0.8317214700193424,744624,2,0.0679270913320235,0,False,False,False,False,False,True,False,False,False,False
658,1,0,5,6,5,1,0,4.87,31,124,0.148,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,2,0.3973403816475515,0,False,False,False,False,False,False,False,False,True,False
6163,1,1,5,6,5,1,0,4.71,19,52,0.117,6699,0.4597701149425287,0.8692342140618002,0.7180176145693387,467351,1,0.2638254679663852,0,False,False,False,False,False,False,True,False,False,False
8445,1,0,5,6,5,0,0,4.93,20,14,0.047,1754,0.3312428734321551,0.8825541619156214,0.4931584948688711,385503,1,0.1155306146597572,0,False,False,False,False,False,True,False,False,False,False
3560,1,0,5,6,5,5,0,4.91,31,46,0.036,1596,0.3840852130325815,0.8771929824561403,0.781328320802005,588202,2,0.1360987007423335,0,False,False,False,False,False,True,False,False,False,False
9108,1,0,5,6,5,4,0,4.86,15,21,0.159,738,0.4715447154471545,0.8915989159891599,0.8143631436314364,546936,1,0.0950979277930581,0,False,False,False,False,False,False,False,False,False,True
5569,1,1,5,6,5,1,0,4.96,17,28,0.061,816,0.4877450980392157,0.8884803921568627,0.8100490196078431,373225,1,0.1345830322778994,0,False,False,True,False,False,False,False,False,False,False
