,log_target
5126,11.073528632317393
4521,11.158375404723415
7555,10.752528892179706
11951,10.793846954926828
216,12.551632393924223
12229,10.013834117166565
14004,9.649556131486266
10199,10.36291356047317
7705,10.734769265000354
16675,8.830133570082113
875,11.967140736447803
8034,10.692342561100599
43,13.046592299980464
17,13.224636170950857
13954,10.21936341835869
9443,10.481709173463667
1911,11.626424671451955
4086,11.216173047697307
10465,10.31941111320684
9527,10.469690171023485
13995,9.651063222828162
5511,11.017367692122834
9694,10.445509472070503
10674,10.28580343974532
14235,9.596194434435231
8742,10.588433696335455
3661,11.280288241018614
15694,9.17812704961153
10094,10.377859750674341
15572,9.212438170058329
8876,10.73536353326792
7711,10.733747517374606
9539,10.467280319023597
10225,10.96964379600463
16504,8.895985728108567
11614,10.124324445558416
3386,11.324458664786947
259,12.486292696218323
10955,10.240327578657347
445,12.26889109444133
9530,10.469204689329526
14779,9.44491434638525
11166,10.885232636047048
536,12.181984850001085
5146,11.071181153224654
17657,8.381052683723603
5628,11.001668081342695
9517,10.471833691242217
15183,9.336188574341044
17969,8.214113176784359
15517,9.229044356769954
16122,9.035498770436053
432,12.279674811213939
6119,10.934579099887461
8595,10.609967949395953
2370,11.515328575186514
19004,7.3753810834419085
7009,10.822005801650635
583,12.136054605880723
16477,9.298424506688768
5762,10.984076729630345
690,12.070587917816797
5570,11.010317649003388
4895,11.108369443517544
4157,11.206639406564625
1721,11.674923558856682
768,12.01944241973908
7738,10.730179563130314
805,12.003747749298705
11176,10.204373321270289
13803,9.967105337426144
10484,10.315868689686022
6684,10.863856411970858
6914,10.834369315685322
9637,10.454849369985205
13978,9.655763101141472
13646,9.734707889008646
2596,11.470307066214971
1969,11.61251556375005
13611,9.741968123371437
7452,10.766655949927186
7928,10.705195372890314
6862,10.840539275858212
16859,8.763177886311809
3141,11.369257152657353
11708,10.875869351060047
6298,10.90769025574306
1675,12.10458019480977
19040,7.341548659077159
4035,11.22331486744215
12280,10.003988780957984
597,12.128335403227847
4581,11.149533728083794
13894,9.67893050270341
11777,10.100783925004784
1052,11.896649267759798
11245,10.192628560224152
13642,9.735672269143796
2565,11.476950040167576
2258,11.543406172223815
8607,11.002946149650864
15509,9.23222905723382
5064,11.081348387461212
5672,10.994878832360897
9082,10.538806977649944
4243,11.19547810229306
9958,10.400899615384697
6629,10.87024703895827
13358,9.792092197141878
969,11.926015429834187
3958,11.236474750690459
10890,10.250871468233953
6326,10.903692871291353
11219,10.19650039117271
892,11.960076194565499
4849,11.114596335097906
11397,10.164947562134543
11842,10.091832598307642
8232,10.6663823197139
8522,10.620983384099416
8279,10.65926909872969
19347,7.342520256135163
9726,10.439275996285623
6415,10.893909399153356
1861,11.638492349938868
8453,10.633441477276998
5033,11.085708491034222
15588,9.209189710218787
15189,9.334043626281725
11671,10.117727584898356
2498,11.49186524723858
9317,10.501966846976991
6456,10.889229717408499
6564,10.877020250315216
7826,10.719380987137399
3899,11.245432873081826
15466,9.244867394670745
7595,10.746284585090828
4148,11.207526029546592
1173,11.849558402963998
9437,11.392379114874808
9488,10.4754355565692
15084,9.364605330987612
17578,8.423014371383026
7410,10.771440617848365
2187,11.559932134896982
1477,11.74896233901824
1219,11.835833261993658
19919,5.8888779583328805
12993,9.870762894256549
2801,11.425842449050956
1082,11.884382119137143
18030,8.168231282541806
15383,9.277054649438387
12116,10.039664816753234
5411,11.030415152184284
12528,10.145590238251485
7533,11.664993978593163
4580,11.149785381266774
4746,11.128172864209462
1160,11.851650875573103
7746,10.72955156191494
9349,10.497109934249165
8883,10.567584326599508
3370,11.327837284600212
19335,7.045689465071451
16764,8.799872772245227
7052,10.816330347100221
8630,10.6049822950526
1914,11.625787970203612
629,12.10964984699512
11058,10.222312123975799
1356,11.786623717979547
19149,7.23835315241075
5770,10.983215991702446
4099,11.214284900308023
4518,11.158436701026199
3153,11.367512334669456
10213,10.360507254223569
16945,8.728328936726152
1520,11.73805584123993
14316,10.112223815501533
8091,10.686464011070806
19081,7.304045089154849
3852,11.252089132619721
9259,10.512701341518195
9681,10.447522588504528
6201,10.922453999213541
11883,10.082156613748507
12642,9.933759692524804
13517,9.76281644699736
2580,11.47333604385252
6888,10.837906962415177
6044,10.943841999685693
15104,9.359355027840857
8465,10.632069442218347
5194,11.064540851603372
8035,10.69226758810788
6394,10.895627596693721
14760,9.44931790159292
4590,11.148205388420747
8923,10.562894375324507
6686,10.863676502499287
11523,10.140530064238373
7903,10.708654526463345
10505,10.31333305270327
16240,8.993824806952194
11237,10.193586701503515
3109,11.375169159959137
9007,10.549105398746564
13373,9.79039164013541
13817,9.698447882544263
5795,10.98104983625593
1491,11.745379934836333
13815,9.699496907691305
6669,10.865867661879324
10375,10.331734505791278
6157,10.929156319020546
6554,10.878215102964816
3486,11.308824448233334
858,11.976090766055442
10785,10.271060398043042
6784,10.851906598161804
5532,11.014512484610812
9942,10.403899137953246
4530,11.15686890122362
2246,11.545325857136234
3928,11.240514197977014
3614,11.286492760316936
584,12.13550961341452
8017,10.694818054201427
1530,11.735381580054288
9400,10.4888518414086
15549,9.21945867362071
9494,10.474950033337821
16086,9.045347797304004
10401,10.32898728717036
3510,11.306093159047741
415,12.295768914968168
13026,9.864601183483629
